1girl,一人の女の子
pink_tail,ピンクの尻尾
shin_guards,脛当て
arm_between_breasts,胸の間の腕
leonardo_da_vinci_(fate),レオナルド・ダ・ヴィンチ
pink_camisole,ピンクのキャミソール
sidecut,サイドカット
yurigaoka_girls_academy_school_uniform,百合ヶ丘女学院制服
kuromorimine_school_uniform,黒森峰女学園制服
christmas_lights,クリスマスライト
takamaki_anne,高巻杏
di_gi_charat,デ・ジ・キャラット
madotsuki,マダツキ
yes,はい
pink_one-piece_swimsuit,ピンクのワンピース水着
yuzuki_choco,柚月チョコ
white_lily,白いユリ
dimitri_alexandre_blaiddyd,ディミトリ・アレクサンドル・ブレーダッド
implied_yuri,百合の示唆
mismatched_sleeves,左右非対称の袖
art_tools_in_frame,フレーム内の美術道具
selen_tatsuki,selen tatsuki
kotonoha_akane,琴葉茜
tokisaki_kurumi,時崎狂三
ribbon_in_mouth,口にリボン
mima_(touhou),三魔
sakura_futaba,佐倉双葉
sasaki_chie,佐々木千枝
looking_at_food,食べ物を見ている
curtsey,お辞儀(カーシー)
scarlet_devil_mansion,紅魔館
check_character,キャラクターチェック
green_fur,緑の毛皮
hatsune_miku_(cosplay),初音ミク(コスプレ)
krista_lenz,クリスタ・レンツ
friends,友達
master_sword,マスターソード
shun_(blue_archive),シュン
lighter,ライター
pointy_footwear,尖った履物
navia_(genshin_impact),Navia
gundam_zz,機動戦士ガンダムZZ
party_popper,クラッカー
cactus,サボテン
bath_yukata,浴衣(バスローブ)
kirakira_precure_a_la_mode,キラキラ☆プリキュアアラモード
dialogue_box,セリフボックス
jakuzure_nonon,蛇崩乃々
pine_tree,松の木
sinon,シノン
sweaty_armpits,汗ばんだ脇
ryu_(street_fighter),リュウ
noumi_kudryavka,能美クドリャフカ
purple_socks,紫色の靴下
>o<,>o<
grey_tail,灰色の尻尾
magatama_earrings,勾玉ピアス
flashlight,懐中電灯
sweaty_clothes,汗ばんだ服
no_eyebrows,眉毛なし
godzilla_(series),ゴジラ(シリーズ)
head_only,頭部のみ
english_audio,英語音声
galaxy_angel,ギャラクシーエンジェル
cat_on_head,頭の上の猫
mimikyu,ミミッキュ
hexagon,六角形
sendai_kai_ni_(kancolle),川内改二
colored_shadow,色のついた影
basil_(faraway)_(omori),バジル
pov_doorway,POV(ドアウェイ)
blank_speech_bubble,空の吹き出し
cooperative_paizuri,協力的なパイズリ
tedeza_rize,テヅカ・リゼ
volleyball_(object),バレーボール(物体)
male_maid,男性メイド
tiered_tray,段重ねトレイ
kachimachi_kosuzu,勝間琴子
ferris_wheel,観覧車
holding_tablet_pc,タブレットPCを持っている
noshiro_(kancolle),能代
globe,地球儀
javelin_(azur_lane),ジャベリン
minato_aqua_(1st_costume),湊あくあ(1期衣装)
stone_lantern,石灯籠
white_butterfly,白い蝶
little_red_riding_hood,赤ずきん
choukai_(kancolle),鳥海
shiomi_syuko,塩見周子
holding_own_tail,自分の尻尾を持っている
zhu_yuan,朱元
sakata_gintoki,坂田銀時
shinsengumi,新選組
johnny_joestar,ジョニィ・ジョースター
teruzuki_(kancolle),照月
u.a._school_uniform,雄英高校制服
gensou_suikoden,幻想水滸伝
sex_machine,セックスマシン
video_game,ビデオゲーム
wakamo_(blue_archive),ワカモ
shirt_in_mouth,口にシャツ
bear_print,クマ柄
voyeurism,覗き見
soup,スープ
matsuno_osomatsu,松野おそ松
tribal,トライバル
ujimatsu_chiya,氏松千夜
alternate_language,別言語
pokemon_on_shoulder,肩の上のポケモン
elysia_(herrscher_of_human:_ego)_(honkai_impact),エーリャ(人類のエゴたる律者)
sausage,ソーセージ
spooning,スプーニング(添い寝)
takanashi_kiara_(1st_costume),宝鐘マリン(1期衣装)
necktie_grab,ネクタイを掴む
artificial_eye,人工眼
fortissimo,フォルティッシモ
hayakawa_aki,早川アキ
kuro_no_kiseki_(series),黒の軌跡(シリーズ)
stepped_on,踏みつけられている
broken_chain,壊れた鎖
gym_storeroom,体育倉庫
novel_cover,小説の表紙
high_kick,ハイキック
transparent_wings,透明な翼
mon-musu_quest!,モンスター娘のお医者さん
star_brooch,星のブローチ
brown_bikini,茶色のビキニ
covered_penis,覆われたペニス
orange_pantyhose,オレンジのパンティストッキング
wiping_sweat,汗を拭う
cocktail_dress,カクテルドレス
dark_penis,黒ずんだペニス
two-sided_coat,両面コート
holding_needle,針を持っている
silver_(pokemon),マナフィ
acrylic_paint_(medium),アクリル絵の具(媒体)
takamatsu_tomori,高松友里
redrawn,描き直し
sakuramon,桜門
western_dragon,西洋の竜
holding_saucer,ソーサーを持っている
origami,折り紙
german_text,ドイツ語のテキスト
ange_katrina,アンジュ・カトリーナ
haru_urara_(umamusume),ハルウララ
naked_kimono,裸の着物
arch_bishop_(ragnarok_online),アークビショップ
colored_inner_animal_ears,色付きのインナーアニマル耳
live2d,Live2D
mihoyo,miHoYo
morino_rinze,森野リンゼ
voice_actor,声優
lace-trimmed_skirt,レース飾りのスカート
huge_bow,巨大なリボン
kin-iro_mosaic,きんいろモザイク
live_a_hero,Live A Hero
shinosawa_hiro,篠沢広
holding_bucket,バケツを持っている
hoshimi_miyabi,星見雅
mega_man_legends_(series),ロックマンX(シリーズ)
shu_(arknights),シュウ
shiina_yuika,椎名唯華
k-pop,K-POP
dowsing_rod,ダウジングロッド
group_name,グループ名
cross_tie,クロスネクタイ
mr._c.b._(umamusume),Mr.CB
loungewear,ラウンジウェア
shimaidon_(sex),島イドン(性的な意味)
print_bra,プリントブラ
mari_(track)_(blue_archive),マリ
pants_rolled_up,ズボンをまくり上げた
mixing_bowl,ミキシングボウル
yellow_tail,黄色の尻尾
jeanne_d'arc_alter_santa_lily_(fate),ジャンヌ・ダルク(オルタ・サンタ・リリィ)
full-body_tattoo,全身タトゥー
kuwayama_chiyuki,桑山千詠
beidou_(genshin_impact),北斗
black_lagoon,BLACK LAGOON
freediving,フリーダイビング
exhausted,疲弊した
coca-cola,コカ・コーラ
cheek_squash,頬を押しつぶす
cat_day,猫の日
sig_sauer,シグ・ザウエル
blood_on_arm,腕の血
off-shoulder_jacket,オフショルダーのジャケット
pink_petals,ピンクの花びら
kurokoma_saki,黒駒サキ
nagatsuki_(kancolle),長月
icing,アイシング
visor_(armor),バイザー(鎧)
aoki_hagane_no_arpeggio,蒼き鋼のアルペジオ
fingering_through_clothes,服の上からの愛撫
felicia_(darkstalkers),フェリシア
luigi's_mansion,ルイージマンション
matsuno_karamatsu,松野カラ松
andou_(girls_und_panzer),安藤
argyle_pantyhose,アーガイル柄パンティストッキング
sirius_symboli_(umamusume),シリウスシンボリ
kel_(omori),ケル
narita_brian_(umamusume),ナリタ・ブライアン
shinonome_ena,東雲絵名
green_wings,緑の翼
holding_violin,バイオリンを持っている
crate,木枠
fireplace,暖炉
doctor,医者
fourth_east_high_school_uniform,第四東高校制服
hydrokinesis,水力操作
tropical-rouge!_precure,トロピカル～ジュ！プリキュア
mithrun,ミスリル
takeba_yukari,岳羽ゆかり
embellished_costume,装飾された衣装
dragon_quest_v,ドラゴンクエストV
candy_hair_ornament,キャンディの髪飾り
ear_wiggle,耳をピクピクさせる
morpeko_(full),モルペコ(まんぷく)
agnes_digital_(umamusume),アグネスデジタル
takasaki_yu,高崎祐
triangle_print,三角形のプリント
katsuki_yuuri,葛城ユリ
mabinogi,マビノギ
maru-yu_(kancolle),まるゆ
koyanskaya_(fate),コヤンスカヤ
idolmaster_2,アイドルマスター2
ramlethal_valentine,ラムレザル・ヴァレンタイン
gibson_les_paul,ギブソン・レスポール
summer_pockets,Summer Pockets
ass_cutout,臀部カットアウト
cosplay_photo,コスプレ写真
komano_aunn,駒野あうん
sana_channel,さなチャンネル
index_(toaru_majutsu_no_index),インデックス
mechanization,機械化
vita_(nanoha),ヴィータ
pink_wrist_cuffs,ピンクのリストカフス
thighhighs_pull,サイハイソックスを引っ張る
vivio,ヴィヴィオ
yaoyorozu_momo,八百万百
shikigami,式神
hoshi_syoko,星野翔子
natori_sana,名取さな
cheek_bulge,頬の膨らみ
shantae_(series),シャンティ(シリーズ)
brown_sleeves,茶色の袖
dumbbell,ダンベル
ranni_the_witch,ラニ
toutetsu_yuuma,饕餮悠真
tenka_hyakken,天華百剣
mesugaki,メスガキ
double_fox_shadow_puppet,ダブルフォックス影絵
horikawa_raiko,堀川雷鼓
inui_toko,乾桃子
matsuno_ichimatsu,松野一松
tail_grab,尻尾を掴む
food-themed_earrings,食べ物モチーフのイヤリング
akiyama_mizuki,秋山瑞紀
pikmin_(creature),ピクミン(生物)
alear_(fire_emblem),アレス
pinstripe_shirt,ピンストライプシャツ
vibrator_under_panties,パンツの下のバイブレーター
etna_(disgaea),エトナ
load_bearing_vest,ロードベアリングベスト
pepperoni_(girls_und_panzer),ペパロニ
asashio_kai_ni_(kancolle),朝潮改二
short_jumpsuit,ショートジャンプスーツ
artoria_pendragon_(lancer_alter)_(fate),アルトリア・ペンドラゴン(ランサー/オルタ)
ballet_slippers,バレエシューズ
pink_capelet,ピンクのケープレット
harry_potter_(series),ハリー・ポッター(シリーズ)
animal_ear_legwear,アニマル耳レッグウェア
spiked_shell,棘付きシェル
pasta,パスタ
viktor_nikiforov,ヴィクトル・ニキフォロフ
konohagakure_symbol,木ノ葉隠れの里の紋章
love_plus,ラブプラス
sunscreen,日焼け止め
under_night_in-birth,UNDER NIGHT IN-BIRTH
winged_footwear,翼の生えた履物
werewolf,人狼
gundam_tekketsu_no_orphans,機動戦士ガンダム 鉄血のオルフェンズ
matsuno_jyushimatsu,松野十四松
irene_(arknights),アイリーニ
tropical_fish,熱帯魚
fur-trimmed_footwear,ファー飾りの履物
bucket_hat,バケットハット
earth_(ornament),地球(装飾品)
kuroshio_(kancolle),黒潮
angel_and_devil,天使と悪魔
misumi_nagisa,美墨渚
midna,ミドナ
hojo_karen,北条華蓮
spiked_halo,棘付きの光輪
frilled_leotard,フリル付きレオタード
yuzuriha_inori,楪いのり
teacher_and_student,教師と生徒
sleeve_ribbon,袖のリボン
inoue_orihime,井上織姫
naked_hoodie,裸のパーカー
crime_prevention_buzzer,防犯ブザー
grass_wonder_(umamusume),グラスワンダー
vertical-striped_jacket,縦縞のジャケット
rough_sex,ハードなセックス
amagi_brilliant_park,甘城ブリリアントパーク
soda,ソーダ
plume,羽根飾り
bookmark,しおり
takara_miyuki,宝みゆき
koihime_musou,恋姫†無双
nero_claudius_(bride)_(fate),ネロ・クラウディウス(ブライド)
hand_on_lap,膝に手を置く
haruna_(blue_archive),ハルナ
check_artist,アーティストチェック
naranja_academy_school_uniform,laranja学院制服
higuchi_kaede,樋口楓
koizumi_itsuki,小泉一樹
death_note,DEATH NOTE
camouflage_jacket,迷彩ジャケット
iizunamaru_megumu,飯綱丸螢
carmine_(pokemon),スカーレット
vaporeon,シャワーズ
fujiwara_chika,藤原千花
dotted_line,点線
tiki_(fire_emblem),チキ
imminent_anal,迫りくるアナル
cephalopod_eyes,頭足類の目
barghest_(fate),バーゲスト
possessed,憑依されている
trash_bag,ゴミ袋
yu-gi-oh!_arc-v,遊☆戯☆王ARC-V
flock,群れ
lynette_(genshin_impact),Lynette
extra_mouth,追加の口
red_border,赤い境界線
side_ahoge,横アホ毛
hanasakigawa_school_uniform,花咲川高校制服
ijiranaide_nagatoro-san,イジらないで、長瀞さん
applying_makeup,化粧をしている
kugisaki_nobara,釘崎野薔薇
portrait_(object),肖像画(物体)
red_tail,赤い尻尾
yuusha_de_aru,勇者である
momota_kaito,百田解斗
katsuragi_(kancolle),葛城
tohru_(maidragon),トール
ajirogasa,網代笠
hand_net,玉網
implied_yaoi,やおい(男同士の恋愛)の示唆
holding_cotton_candy,綿あめを持っている
noelle_(genshin_impact),ノエル
musashi_kai_ni_(kancolle),武蔵改二
masturbation_through_clothes,服の上からのマスターベーション
monster_energy,モンスターエナジー
in_water,水の中
tate_no_yuusha_no_nariagari,盾の勇者の成り上がり
green_tunic,緑のチュニック
last_order_(toaru_majutsu_no_index),ラストオーダー
power_suit,パワードスーツ
saga,サガ
wattson_(apex_legends),ワットソン
leg_between_thighs,太ももの間の脚
mega_gardevoir,サーナイト(メガシンカ)
makaino_ririmu,魔界のリリム
osaki_amana,大咲あまね
marie_antoinette_(fate),マリー・アントワネット
single_stripe,一本の縞
tanzaku,短冊
chest_of_drawers,チェスト(家具)
serizawa_asahi,芹沢あさひ
kamiya_nao,神谷奈緒
nanasaki_ai,七咲逢
ankh,アンク
strawberry_hair_ornament,イチゴの髪飾り
torpedo_launcher,魚雷発射管
salaryman,サラリーマン
slapping,平手打ち
yayoi_(kancolle),弥生
shirayuki_(kancolle),白雪
gundam_unicorn,機動戦士ガンダムUC
elizabeth_bathory_(fate/extra_ccc),エリザベート・バートリー(Fate/EXTRA CCC)
shihouin_yoruichi,四楓院夜一
h&k_hk416,H&K HK416
yi_sang_(project_moon),イサン
aqua_footwear,アクア色の履物
kirlia,キルリア
prehensile_tail,器用な尻尾
accidental_exposure,意図しない露出
hanamura_yousuke,花村陽介
utensil_in_mouth,口に食器
kemomimi-chan_(naga_u),ケモミミちゃん(長尾う)
after_rape,レイプ後
scooter,スクーター
tennoji_rina,天王寺璃奈
orange_sweater,オレンジ色のセーター
cow,牛
huge_eyebrows,太い眉
centauroid,ケンタウロス型
sidewalk,歩道
tracer_(overwatch),トレーサー
vibrator_cord,バイブレーターのコード
tales_of_symphonia,テイルズ オブ シンフォニア
iphone,iPhone
finger_heart,指ハート
moroboshi_kirari,諸星きらり
shishiro_botan_(1st_costume),獅白ぼたん(1期衣装)
ringo_(touhou),りんご
rider_belt,ライダーベルト
girls'_frontline_neural_cloud,勝利の女神:NIKKE
pangya,パンヤ
on_rock,岩の上
cum_on_self,自身に射精
mari_(omori),マリ
comforting,慰める
faust_(project_moon),ファウスト
calico,三毛猫
shokugeki_no_souma,食戟のソーマ
red_hands,赤い手
button_eyes,ボタンの目
sunazuka_akira,砂塚あきら
aldnoah.zero,アルドノア・ゼロ
ao_isami,青いさみ
cooler,クーラー
anal_hair,肛門の毛
frottage,フロッタージュ
final_fantasy_vii_ever_crisis,FINAL FANTASY VII EVER CRISIS
saren_(princess_connect!),サレン
full-package_futanari,フルパッケージの二形(ふたなり)
campfire,キャンプファイヤー
hazbin_hotel,Hazbin Hotel
fubuki_kai_ni_(kancolle),吹雪改二
white_tube_top,白いチューブトップ
eternity_larva,エターナルラーヴァ
gradient_legwear,グラデーションレッグウェア
heart_collar,ハートの首輪
ghost_in_the_shell,攻殻機動隊
oyama_mihari,大山未晴
basketball_uniform,バスケットボールユニフォーム
pokedex_number,ポケモン図鑑番号
sinoalice,シノアリス
tama_(kancolle),タマ
aqua_panties,アクア色のパンティ
touhou_lostword,東方LostWord
elesa_(pokemon),エララ
arrow_through_heart,ハートを貫く矢
armpit_cutout,脇の下のカットアウト
fountain,噴水
overcoat,オーバーコート
kirigaya_suguha,桐ヶ谷直葉
snorkel,シュノーケル
hanasaki_tsubomi,花咲つぼみ
frozen_(disney),アナと雪の女王(ディズニー)
double_w,ダブルW
morning_glory,朝顔
duffel_coat,ダッフルコート
saki_achiga-hen,咲-Saki- 阿知賀編
free!,Free!
no_gloves,手袋なし
pink_sky,ピンクの空
blue_tabard,青いタバード(上着)
lava,溶岩
ribbon-trimmed_dress,リボン飾りのドレス
wrist_bow,手首のリボン
heckler_&_koch,ヘッケラー&コッホ
ugly_man,醜い男
ammunition,弾薬
yellow_sky,黄色の空
cutting_board,まな板
asashimo_(kancolle),朝霜
split_ponytail,ツインテール(分けられたポニーテール)
tail_between_legs,脚の間の尻尾
lord_of_the_mysteries,Lord of the Mysteries
finger_to_face,顔に指
goldenglow_(arknights),ゴールドグロウ
orange_belt,オレンジのベルト
purple_scrunchie,紫色のシュシュ
cetacean_tail,鯨類の尾
adam's_apple,アダムのリンゴ(喉仏)
giving_up_the_ghost,幽霊を手放す
tamaki_iroha,環いろは
hands_on_own_ass,自分の尻に手を置く
green_tail,緑の尻尾
runes,ルーン文字
espeon,エーフィ
sinclair_(project_moon),シンクレア
hino_rei,火野レイ
yowane_haku,弱音ハク
kero_(cardcaptor_sakura),ケロちゃん
haruka_(blue_archive),ハルカ
little_red_riding_hood_(grimm),赤ずきん
orange_vest,オレンジ色のベスト
dakimakura_(object),抱き枕(物体)
seiken_densetsu_3,聖剣伝説3
heaven's_feel,Fate/stay night [Heaven's Feel]
leather_boots,革のブーツ
tentacle_pit,触手ピット
digimon_adventure,デジモンアドベンチャー
futa_without_pussy,女性器のない二形(ふたなり)
isekaijoucho,異世界嬢
scorbunny,ヒバニー
suzukaze_(kancolle),涼風
see-through_jacket,シースルーのジャケット
nakano_itsuki,中野五月
hakurei_reimu_(cosplay),博麗霊夢(コスプレ)
bloop_(gawr_gura),ブループ
kirijou_mitsuru,桐条美鶴
lyrics,歌詞
crane_(machine),クレーン(機械)
playstation_controller,PlayStationコントローラー
lalafell,ララフェル
kenzaki_makoto,剣崎真琴
blending,ブレンド
tales_of_graces,テイルズ オブ グレイセス
sideless_shirt,袖なしシャツ
coffin,棺
crystal_hair,クリスタルの髪
blank_stare,虚ろな視線
marianne_von_edmund,マリアンヌ・フォン・エドムント
two-tone_cape,ツートンカラーのケープ
goblin_slayer!,ゴブリンスレイヤー
doraemon,ドラえもん
arashio_(kancolle),荒潮
bayonetta_(series),ベヨネッタ(シリーズ)
sakugawa_school_uniform,桜川学園制服
terra_branford,ティナ・ブランフォード
belly_grab,腹を掴む
makizushi,巻き寿司
ame-chan_(needy_girl_overdose),あめちゃん
grey_hairband,灰色のヘアバンド
duster,ダスターコート
florian_(pokemon),モルン
reins,手綱
ninja_mask,忍者マスク
neck_tassel,首元の房飾り
dairoku_ryouhei,第六猟兵
split_screen,分割画面
petals_on_liquid,液体上の花びら
son_gohan,孫悟飯
daruma_doll,だるま
ornate_border,装飾的な境界線
gyee,Gyee
breast_cutout,胸のカットアウト
thighhighs_over_pantyhose,パンティストッキング越しのサイハイソックス
kureiji_ollie,クレイジー・オリー
breast_conscious,胸を意識している
denim_jacket,デニムジャケット
short_tail,短い尻尾
fold-over_boots,折り返しブーツ
dark_anus,黒ずんだ肛門
monika_(doki_doki_literature_club),モニカ
getou_suguru,夏油傑
furigana,振り仮名
yukihana_lamy_(1st_costume),雪花ラミィ(1期衣装)
xenoblade_chronicles_1,ゼノブレイド
telekinesis,念動力
shuka_high_school_uniform,修華高校制服
shirt_grab,シャツを掴む
delicious_party_precure,デリシャスパーティ♡プリキュア
holding_beachball,ビーチボールを持っている
print_headwear,プリント柄の帽子
dorohedoro,ドロヘドロ
mahou_girls_precure!,魔法つかいプリキュア！
nanami_kento,七海建人
black_hood,黒いフード
tsukioka_kogane,月岡恋鐘
bouncing_ass,揺れる尻
koseki_bijou,小関ビジュ
scar_on_mouth,口の傷跡
super_mario_galaxy,スーパーマリオギャラクシー
edward_elric,エドワード・エルリック
onegai_my_melody,おねがいマイメロディ
dragon_quest_xi,ドラゴンクエストXI
mei_(overwatch),メイ
april_fools,エイプリルフール
looking_at_breasts,胸を見ている
hikawa_sayo,氷川紗夜
sharp_toenails,鋭い爪先
dr._ratio_(honkai:_star_rail),ドクター・ラナ
torn_jacket,破れたジャケット
kotonoha_aoi,琴葉葵
arthropod_limbs,節足動物の肢
weight_conscious,体重を意識している
holding_envelope,封筒を持っている
commander_(girls'_frontline),指揮官
fur_cape,毛皮のケープ
torn_scarf,破れたスカーフ
rosehip_(girls_und_panzer),ローズヒップ
school_briefcase,学生カバン
flaming_weapon,炎の武器
ayanami_(kancolle),綾波
hoshiguma_(arknights),ホシグマ
fish_print,魚柄
holding_megaphone,メガホンを持っている
stream,小川
tarot_(medium),タロット(媒体)
legs_folded,脚を組む
arms_around_waist,腰に腕
yellow_leotard,黄色のレオタード
purple_ascot,紫色の付け襟
natsuki_subaru,夏月昴
fire_emblem_warriors:_three_hopes,ファイアーエムブレム無双 風花雪月
rebecca_(cyberpunk),レベッカ
untying,解いている
two-tone_hairband,ツートンカラーのヘアバンド
karakai_jouzu_no_takagi-san,からかい上手の高木さん
purple_one-piece_swimsuit,紫色のワンピース水着
snail,カタツムリ
cursor,カーソル
kasumi_(doa),かすみ
pornography,ポルノグラフィ
fubuki_(one-punch_man),フブキ
jimiko,巫女
yamato_(one_piece),ヤマト
tomoeda_elementary_school_uniform,友枝小学校制服
fumo_(doll),ふも(ぬいぐるみ)
drawing_sword,剣を抜く
pokemon_dppt_(anime),ポケットモンスター ダイヤモンド・パール・プラチナ(アニメ)
osaka_shizuku,大阪しずく
grey_tank_top,灰色のタンクトップ
cheval_grand_(umamusume),シュヴァルグラン
has_downscaled_revision,ダウンスケール済み改訂あり
guided_breast_grab,誘導される胸掴み
shibuya_kanon,渋谷かのん
light_censor,光の検閲
alternate_weapon,代替武器
crease,折り目
sakamoto_mio,坂本美緒
makoto_nanaya,七夜誠
kasugano_sakura,春日野穹
unicorn,ユニコーン
hand_on_own_forehead,自分の額に手
santa_boots,サンタブーツ
james_(pokemon),コジロウ
polka_dot_headwear,水玉模様の帽子
tokino_sora,ときのそら
dice_hair_ornament,サイコロの髪飾り
motorcycle_helmet,バイク用ヘルメット
shark_costume,サメの衣装
tokoyami_towa_(1st_costume),常闇トワ(1期衣装)
monkey_ears,猿の耳
hitting,打つ
gladiator_sandals,グラディエーターサンダル
lucifer_(helltaker),ルシファー
black_veil,黒いベール
artoria_pendragon_(swimsuit_ruler)_(fate),アルトリア・ペンドラゴン(セイバー/オルタ)
hands_on_feet,足に手
puppet_strings,操り糸
dildo_riding,ディルド乗り
fletcher_(kancolle),フレッチャー
kris_(pokemon),クリス
tensei_shitara_slime_datta_ken,転生したらスライムだった件
clapping,拍手
sora_harewataru,空晴渡
shigure_ui_(vtuber),しぐれうい
machine,機械
kanabou,金棒
yo-yo,ヨーヨー
pokemon_go,Pokémon GO
in-universe_location,作中世界内の場所
kurosaki_ichigo,黒崎一護
boxer_briefs,ボクサーブリーフ
single_horizontal_stripe,一本の横縞
clock_tower,時計塔
race_vehicle,レース車両
roll_(mega_man),ロール
magi_the_labyrinth_of_magic,マギ The labyrinth of magic
hanyuu,羽入
slam_dunk_(series),SLAM DUNK(シリーズ)
food-themed_clothes,食べ物モチーフの服
lopunny,ミミロップ
eyelid_pull,まぶたを引っ張る
asa_no_ha_(pattern),麻の葉(模様)
holding_pizza,ピザを持っている
nakano_ichika,中野一花
tokyo-3_middle_school_uniform,TOKYO-3中学校制服
perpendicular_paizuri,垂直なパイズリ
bar_stool,バースツール
oshawott,ミジュマル
armored_gloves,鎧の手袋
kikyou_(blue_archive),キキョウ
silver_fox_(kemono_friends),ギンギツネ
2014,2014年
pink_cape,ピンクのケープ
scott_pilgrim_(series),スコット・ピルグリム(シリーズ)
yellow_butterfly,黄色い蝶
frilled_ascot,フリル付き付け襟
kiryu_coco_(1st_costume),桐生ココ(1期衣装)
summer_festival,夏祭り
anchor_print,碇のプリント
white_snake,白い蛇
animal_on_lap,膝の上の動物
wing_ornament,翼の装飾
japanese_crested_ibis_(kemono_friends),トキ
counter:side,カウンターサイド
wrist_wrap,リストラップ
phase_connect,Phase Connect
mole_above_mouth,口の上のほくろ
oven_mitts,オーブンミット
blue_tank_top,青いタンクトップ
soda_bottle,ソーダ瓶
canvas_(object),キャンバス(物体)
on_motorcycle,オートバイに乗っている
uvula,uvula
hiro_(darling_in_the_franxx),ヒロ
tokoyami_towa_(jirai_kei),常闇トワ(地雷系)
hozuki_momiji,鬼灯紅葉
ballet,バレエ
oshida_(girls_und_panzer),押田
chibi_usa,ちびうさ
signum,シグナム
popsicle_in_mouth,口にアイスキャンディー
pixiv_logo,pixivロゴ
frisk_(undertale),フリスク
sen_no_kiseki_i,英雄伝説 閃の軌跡
matsuno_choromatsu,松野チョロ松
bamboo_broom,竹ほうき
kouhaku_nawa,紅白縄
truth,真実
white_leg_warmers,白いレッグウォーマー
dante_(devil_may_cry),ダンテ
balancing,バランスをとる
borrowed_design,借用デザイン
brushing_another's_hair,他人の髪をブラッシングする
clothes,服
orange_ascot,オレンジ色の付け襟
kino_makoto,黄前麻琴
new_school_swimsuit,新学期水着
pentacle,五芒星
dropping,落とす
hataraku_saibou,はたらく細胞
niwatari_kutaka,庭渡久侘歌
heartbeat,心臓の鼓動
irida_(pokemon),ミロカロス
camouflage_pants,迷彩パンツ
hanbok,韓服
keroro_gunsou,ケロロ軍曹
faux_figurine,偽のフィギュア
round_window,丸窓
tulip_hat,チューリップハット
zundamon,ズンだもん
sprigatito,マスカーニャ
hibiki_(cheer_squad)_(blue_archive),ヒビキ
watatsuki_no_yorihime,綿月豊姫
alpha_transparency,アルファ透明度
microsoft_windows,Microsoft Windows
kizuna_ai_inc.,Kizuna AI Inc.
star_tattoo,星のタトゥー
breast_expansion,乳房拡大
blue_poison_(arknights),ブルーポイズン
otonashi_kotori,音無小鳥
nagatoro_hayase,長瀞早瀬
an-94_(girls'_frontline),AN-94
ema,絵馬
futa_on_male,男性への二形(ふたなり)
yellow-tinted_eyewear,黄色のレンズの眼鏡
gold_footwear,金色の履物
mechanical_eye,機械的な目
zero_(mega_man),ゼロ
thread,糸
clitoris_piercing,クリトリスのピアス
popcorn,ポップコーン
teen_titans,ティーン・タイタンズ
pokemon_platinum,ポケットモンスター プラチナ
final_fantasy_xv,ファイナルファンタジーXV
ootachi,大太刀
sakuma_mayu,佐久間まゆ
eyewear_hang,眼鏡をかける
kyoukaisenjou_no_horizon,境界線上のホライゾン
changli_(wuthering_waves),長離
saw,ノコギリ
looking_outside,外を見ている
sponge,スポンジ
jigglypuff,プリン
va-11_hall-a,VA-11 Hall-A
myoukou_(kancolle),妙高
saber_lily,セイバー(リリィ)
bibi_(tokoyami_towa),ビビ
grey_capelet,灰色のケープレット
air_groove_(umamusume),エアグルーヴ
curry_rice,カレーライス
my-hime,舞-HiME
pinstripe_jacket,ピンストライプジャケット
flashback,フラッシュバック
holding_riding_crop,鞭を持っている
champagne,シャンパン
agano_(kancolle),阿賀野
fate/extella,Fate/EXTELLA
bikesuit,バイクスーツ
suzumiya_haruhi_no_shoushitsu,涼宮ハルヒの消失
kirino_ranmaru,霧野蘭丸
belle_(zenless_zone_zero),ベル
just_the_tip,ちょんまげ
noel_vermillion,ノエル・ヴァーミリオン
traffic_cone,交通コーン
z23_(azur_lane),Z23
athletic_leotard,アスレチックレオタード
artoria_pendragon_(alter_swimsuit_rider)_(fate),アルトリア・ペンドラゴン(ライダー/オルタ)
castlevania_(series),悪魔城ドラキュラ(シリーズ)
tsugu_(vtuber),つぐ(VTuber)
producer_(idolmaster_cinderella_girls_anime),プロデューサー
elphelt_valentine,エルフェルト・バレンタイン
icho_private_high_school_uniform,以蔵私立高校制服
a_certain_high_school_uniform,ある高校の制服
holding_notebook,ノートを持っている
pinching_sleeves,袖を摘む
t.m._opera_o_(umamusume),T.M.オペラオー
dagashi_kashi,だがしかし
leafa_(sao),リーファ
bilingual,バイリンガル
impossible_swimsuit,不可能な水着
ib_(kouri),Ib(kouri)
tracen_swimsuit,トレーセン水着
smoke_trail,煙の跡
sorcerer's_sutra_scroll,魔導経典
le_malin_(azur_lane),ル・マラン
honeycomb_(pattern),ハニカム(模様)
glowing_butterfly,光る蝶
bad_end,バッドエンド
yin_yang_orb,陰陽玉
anis_(nikke),アニス
konjiki_no_yami,金色の闇
burnt_clothes,燃えた服
hatoba_tsugu,鳩羽つぐ
princess_king_boo,テレサ
robot_animal,ロボット動物
heart_maebari,ハート型前張り
analog_clock,アナログ時計
star_ornament,星の飾り
rolling_suitcase,コロコロ付きスーツケース
ass_support,尻の支え
bishamonten's_pagoda,毘沙門天の塔
cross-laced_sleeves,交差して編まれた袖
souseiseki,蒼星石
honolulu_(azur_lane),ホノルル
italian_flag,イタリア国旗
round-bottom_flask,丸底フラスコ
bartender,バーテンダー
